Algorithm,File Type,Alphabet Size,Text Size,Pattern Size,Time
Zhu-Takaoka,DNA,4,1.6kb,8,0.0053539276123046875
Zhu-Takaoka,DNA,4,1.6kb,64,0.005555868148803711
Zhu-Takaoka,DNA,4,1.6kb,256,0.00537109375
Zhu-Takaoka,DNA,4,1.6kb,1024,0.006145954132080078
Zhu-Takaoka,DNA,4,56.7kb,8,0.019568920135498047
Zhu-Takaoka,DNA,4,56.7kb,64,0.0122528076171875
Zhu-Takaoka,DNA,4,56.7kb,256,0.01377415657043457
Zhu-Takaoka,DNA,4,56.7kb,1024,0.01350092887878418
Zhu-Takaoka,DNA,4,180.4kb,8,0.044944047927856445
Zhu-Takaoka,DNA,4,180.4kb,64,0.029662132263183594
Zhu-Takaoka,DNA,4,180.4kb,256,0.030092954635620117
Zhu-Takaoka,DNA,4,180.4kb,1024,0.029918909072875977
